channel,campaign_name,package,month,Spend,Impressions,corrected_spend,corrected_impressions,method,ecpm
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Companion Banner _CRS_DIS_300x250_A18+_PAV_NONSPR,2025-03,0.0,1062744.0,30000.0,1062744.0,PAV,28.228811454122532
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-01,20411.850211973542,2916041.0,43412.0,2916041.0,CPM,14.887307825918771
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-02,25240.00076754394,3605713.9999999995,48240.0,3605714.0,CPM,13.378764927001974
Digital Audio,,D_ATF_REX_067_AIRE Radio Networks_GARNT_BROD_ROS_NTL_2P_UF_AIRE Streaming Audio_CRS_AUD_0:30_A18+_CPM_NONSPR,2025-03,24914.36651357587,3617400.9999999995,48027.0,3617401.0,CPM,13.276659126262198
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,39324.800004114295,1048611.0,31823.0,1048611.0,CPM,30.34776480506117
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,38260.14369403297,1023898.0,30893.0,1023898.0,CPM,30.171950721653914
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Adri�n Marcelo _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,31622.841746377497,1021118.0,30654.0,1021118.0,CPM,30.020036861557628
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,37900.71683831741,1008059.0,30303.0,1008059.0,CPM,30.060740492371977
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,39101.16909620992,1002744.0,30107.0,1002744.0,CPM,30.024612463400427
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_El RePortero _CRS_POD_0:30_A18+_CPM_NONSPR,2025-03,38739.67741935483,1000775.0,30030.0,1000775.0,CPM,30.00674477280108
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,44748.61711816606,1193245.0,37247.0,1193245.0,CPM,31.214880431093363
Digital Audio,,D_ATF_REX_067_Latina Podcasters_GARNT_BROD_ROS_NTL_2P_UF_Hermanos de Leche _CRS_POD_0:30_A18+_CPM_NONSPR,2025-02,48054.84547889535,1281502.0,40556.0,1281502.0,CPM,31.647238943052763
